symbol,name,current_price,market_cap,pe_ratio,pb_ratio,roe,eps,book_value,beta,peg_ratio,roa,debt_to_equity,current_ratio,quick_ratio,revenue_growth,earnings_growth,operating_margin,net_margin,profit_margin,dividend_yield,volume,sector,market_cap_category,last_updated
NSE:FORCEMOT-EQ,FORCE MOTORS LIMITED,16807.0,126052.5,11.62,1.16,18.96,4779.9108,14488.793103448277,1.38,1.2257383966244724,9.386138613861386,1.02,2.5,1.875,12.0,10.2,22.752,15.926399999999997,15.926399999999997,3.21,61144,Technology,large_cap,2025-10-04 10:06:04.718323
NSE:ULTRACEMCO-EQ,ULTRATECH CEMENT LIMITED,12019.0,120190.0,12.57,1.48,12.28,2951.8664,8120.945945945946,1.4,2.0472312703583064,6.822222222222222,0.8,2.5,1.875,12.0,10.2,14.735999999999999,10.315199999999999,10.315199999999999,2.34,258411,Technology,large_cap,2025-10-04 10:06:02.998467
NSE:LUPIN-EQ,LUPIN LIMITED,1973.6,118416.0,10.63,2.27,17.35,2054.5176,869.4273127753304,1.16,1.2253602305475504,8.183962264150944,1.12,2.5,1.875,12.0,10.2,20.82,14.574,14.574,3.46,763789,Technology,large_cap,2025-10-04 05:21:32.863908
NSE:BAJAJHLDNG-EQ,BAJAJ HOLDINGS & INVS LTD,11819.0,118190.0,18.08,1.85,19.15,4526.677,6388.648648648648,1.44,1.8882506527415144,8.865740740740739,1.16,1.5,1.125,8.0,6.8,15.32,10.724,10.724,3.04,119815,Others,large_cap,2025-10-04 06:58:23.186471
NSE:ICICIGI-EQ,ICICI LOMBARD GIC LIMITED,1911.6,114696.0,16.09,1.16,17.78,2039.2948800000001,1647.9310344827586,1.23,1.809898762654668,10.397660818713451,0.71,2.5,1.875,12.0,10.2,21.336000000000002,14.9352,14.9352,3.32,595592,Technology,large_cap,2025-10-04 05:21:33.267226
NSE:NEULANDLAB-EQ,NEULAND LAB LTD.,15210.0,114075.0,15.58,2.0,19.39,4423.8285000000005,7605.0,1.31,1.6070139247034554,9.743718592964825,0.99,2.0,1.5,8.0,6.8,15.512,10.8584,10.8584,2.86,51667,Others,large_cap,2025-10-04 10:06:05.357244
NSE:BHARTIARTL-EQ,BHARTI AIRTEL LIMITED,1896.7,113802.0,13.86,1.42,16.03,1824.2460600000002,1335.7042253521129,1.07,1.7292576419213972,7.743961352657005,1.07,2.5,1.875,12.0,10.2,19.236,13.4652,13.4652,2.73,5828332,Technology,large_cap,2025-10-04 05:21:33.267226
NSE:COCHINSHIP-EQ,COCHIN SHIPYARD LIMITED,1861.5,111690.0,18.71,1.58,13.69,1529.0360999999998,1178.1645569620252,1.34,2.733382030679328,7.64804469273743,0.79,2.5,1.875,12.0,10.2,16.427999999999997,11.499599999999997,11.499599999999997,2.38,1506063,Technology,large_cap,2025-10-04 05:21:33.267226
NSE:SBILIFE-EQ,SBI LIFE INSURANCE CO LTD,1785.1,107106.0,18.98,1.57,17.07,1828.29942,1137.0063694267515,1.16,2.223784417106034,9.128342245989305,0.87,2.0,1.5,8.0,6.8,13.656,9.5592,9.5592,3.29,715403,Others,large_cap,2025-10-04 05:21:33.267226
NSE:APLAPOLLO-EQ,APL APOLLO TUBES LTD,1738.2,104292.0,10.18,2.24,13.3,1387.0836000000002,775.9821428571428,1.05,1.5308270676691729,7.5568181818181825,0.76,2.0,1.5,8.0,6.8,10.64,7.4479999999999995,7.4479999999999995,3.11,678344,Others,large_cap,2025-10-04 05:21:33.267226
NSE:EICHERMOT-EQ,EICHER MOTORS LTD,6941.0,104115.0,21.14,1.58,16.75,3487.8525,4393.037974683544,1.2,2.524179104477612,10.403726708074535,0.61,2.0,1.5,8.0,6.8,11.725,8.2075,8.2075,1.99,669742,Automobile,large_cap,2025-10-04 05:21:33.267226
NSE:AZAD-EQ,AZAD ENGINEERING LIMITED,1728.4,103704.0,11.09,2.13,19.62,2034.6724800000004,811.455399061033,1.03,1.1304791029561672,9.478260869565217,1.07,2.5,1.875,12.0,10.2,23.544,16.4808,16.4808,2.66,1590362,Technology,large_cap,2025-10-04 05:21:33.267226
NSE:POLICYBZR-EQ,PB FINTECH LIMITED,1700.5,102030.0,17.77,1.26,16.65,1698.7994999999999,1349.6031746031747,1.49,2.134534534534535,9.148351648351648,0.82,2.5,1.875,12.0,10.2,19.979999999999997,13.985999999999997,13.985999999999997,2.26,1735777,Technology,large_cap,2025-10-04 05:21:33.267226
NSE:ZFCVINDIA-EQ,ZF COM VE CTR SYS IND LTD,13569.0,101767.5,11.62,1.85,17.8,3622.9230000000002,7334.594594594594,1.32,1.3056179775280898,8.944723618090453,0.99,2.0,1.5,8.0,6.8,14.240000000000002,9.968,9.968,3.43,64123,Others,large_cap,2025-10-04 10:06:04.559839
NSE:NUVAMA-EQ,NUVAMA WEALTH MANAGE LTD,6754.5,101317.5,13.3,2.51,15.07,3053.7094500000003,2691.0358565737056,1.36,1.7650962176509621,7.535,1.0,1.5,1.125,8.0,6.8,12.056000000000001,8.4392,8.4392,2.96,577681,Others,large_cap,2025-10-04 05:21:33.267226
NSE:SUNPHARMA-EQ,SUN PHARMACEUTICAL IND L,1631.2,97872.0,15.29,3.57,16.82,1646.20704,456.9187675070028,0.99,1.8180737217598095,13.564516129032258,0.24,2.0,1.5,8.0,6.8,18.502000000000002,12.951400000000001,12.951400000000001,1.52,4041865,Pharmaceutical,large_cap,2025-10-04 05:21:33.267226
NSE:COFORGE-EQ,COFORGE LIMITED,1613.1,96786.0,20.89,2.15,14.43,1396.62198,750.2790697674418,1.33,2.8953568953568953,8.198863636363637,0.76,2.5,1.875,12.0,10.2,17.316,12.121199999999998,12.121199999999998,3.05,1434833,Technology,large_cap,2025-10-04 05:21:33.267226
NSE:MFSL-EQ,MAX FINANCIAL SERV LTD,1604.1,96246.0,13.22,2.09,15.98,1538.01108,767.5119617224881,1.42,1.6545682102628285,7.165919282511211,1.23,1.1,0.8250000000000001,8.0,6.8,4.794,3.3557999999999995,3.3557999999999995,2.49,716078,Banking,large_cap,2025-10-04 05:21:33.267226
NSE:CHOLAFIN-EQ,CHOLAMANDALAM IN & FIN CO,1570.9,94254.0,20.14,2.25,16.78,1581.58212,698.1777777777778,1.31,2.4004767580452917,7.359649122807017,1.28,1.5,1.125,8.0,6.8,13.424000000000001,9.3968,9.3968,2.86,1515769,Others,large_cap,2025-10-04 05:21:33.267226
NSE:PHOENIXLTD-EQ,THE PHOENIX MILLS LTD,1562.5,93750.0,15.59,1.41,12.29,1152.1875,1108.1560283687943,1.23,2.5370219690805533,5.797169811320754,1.12,1.5,1.125,8.0,6.8,9.832,6.8824000000000005,6.8824000000000005,2.36,585867,Others,large_cap,2025-10-04 05:21:33.267226
NSE:BDL-EQ,BHARAT DYNAMICS LIMITED,1560.9,93654.0,15.51,1.47,14.47,1355.1733800000002,1061.8367346938776,1.11,2.143745680718728,6.431111111111111,1.25,2.5,1.875,12.0,10.2,17.364,12.1548,12.1548,3.2,1547231,Technology,large_cap,2025-10-04 05:21:33.267226
NSE:PRESTIGE-EQ,PRESTIGE ESTATE LTD,1530.1,91806.0,12.39,2.16,17.42,1599.2605200000003,708.3796296296296,1.22,1.4225028702640643,8.140186915887853,1.14,1.5,1.125,8.0,6.8,13.936000000000002,9.7552,9.7552,2.5,611466,Others,large_cap,2025-10-04 05:21:33.267226
NSE:CIPLA-EQ,CIPLA LTD,1517.7,91062.0,19.03,2.01,17.74,1615.43988,755.0746268656717,1.22,2.1454340473506206,8.653658536585366,1.05,1.5,1.125,8.0,6.8,14.192,9.9344,9.9344,3.29,1070489,Others,large_cap,2025-10-04 05:21:33.267226
NSE:OFSS-EQ,ORACLE FIN SERV SOFT LTD.,8962.0,89620.0,9.63,1.13,16.22,2907.2727999999997,7930.973451327434,1.45,1.1874229346485823,7.760765550239235,1.09,1.5,1.125,8.0,6.8,12.975999999999999,9.083199999999998,9.083199999999998,3.07,209851,Others,large_cap,2025-10-04 06:58:21.151696
NSE:CDSL-EQ,CENTRAL DEPO SER (I) LTD,1490.1,89406.0,9.67,1.32,16.53,1477.88118,1128.8636363636363,1.02,1.1699939503932244,8.433673469387756,0.96,2.0,1.5,8.0,6.8,13.224000000000002,9.2568,9.2568,3.04,1372102,Others,large_cap,2025-10-04 05:21:33.267226
NSE:PIDILITIND-EQ,PIDILITE INDUSTRIES LTD,1489.6,89376.0,20.27,5.01,21.26,1900.1337600000002,297.3253493013972,1.65,1.9068673565380996,15.185714285714289,0.4,2.5,1.875,12.0,10.2,25.512,17.8584,17.8584,1.79,778524,Technology,large_cap,2025-10-04 05:21:33.267226
NSE:HAVELLS-EQ,HAVELLS INDIA LIMITED,1488.1,89286.0,18.78,1.5,18.2,1625.0052,992.0666666666666,1.08,2.063736263736264,11.666666666666666,0.56,2.5,1.875,12.0,10.2,21.84,15.287999999999998,15.287999999999998,2.05,1019221,Technology,large_cap,2025-10-04 05:21:33.267226
NSE:DIVISLAB-EQ,DIVI S LABORATORIES LTD,5866.0,87990.0,13.75,2.59,13.08,2301.8183999999997,2264.864864864865,1.4,2.102446483180428,8.124223602484472,0.61,2.0,1.5,8.0,6.8,10.464,7.3248,7.3248,2.69,655087,Others,large_cap,2025-10-04 05:21:33.267226
NSE:WOCKPHARMA-EQ,WOCKHARDT LIMITED,1460.0,87600.0,24.82,4.06,11.39,997.7639999999999,359.6059113300493,1.06,4.358208955223881,6.945121951219512,0.64,2.5,1.875,12.0,10.2,13.668000000000001,9.5676,9.5676,2.15,574724,Technology,large_cap,2025-10-04 05:21:33.267226
NSE:INFY-EQ,INFOSYS LIMITED,1446.6,86796.0,16.74,1.87,15.11,1311.48756,773.5828877005347,1.14,2.215751158173395,7.67005076142132,0.97,2.5,1.875,12.0,10.2,18.131999999999998,12.692399999999997,12.692399999999997,3.12,6877533,Technology,large_cap,2025-10-04 05:21:33.267226
NSE:ADANIPORTS-EQ,ADANI PORT & SEZ LTD,1419.1,85146.0,12.94,1.76,19.43,1654.38678,806.3068181818181,1.1,1.3319608852290272,8.752252252252253,1.22,1.5,1.125,8.0,6.8,15.544,10.880799999999999,10.880799999999999,2.71,1576970,Others,large_cap,2025-10-04 05:21:33.267226
NSE:INDIGO-EQ,INTERGLOBE AVIATION LTD,5657.0,84855.0,20.36,1.21,17.69,3002.1699000000003,4675.206611570248,1.11,2.3018654607122664,9.071794871794873,0.95,2.0,1.5,8.0,6.8,14.152000000000001,9.9064,9.9064,2.77,856525,Others,large_cap,2025-10-04 06:58:19.712072
NSE:MAHSCOOTER-EQ,MAHARASHTRA SCOOTERS LTD,16810.0,84050.0,12.27,1.51,19.27,3239.287,11132.450331125829,1.16,1.2734820965230929,11.203488372093023,0.72,2.0,1.5,8.0,6.8,15.416,10.7912,10.7912,2.09,9422,Others,large_cap,2025-10-04 19:06:26.785251
NSE:TECHM-EQ,TECH MAHINDRA LIMITED,1400.6,84036.0,14.42,1.6,17.12,1438.69632,875.3749999999999,1.1,1.6845794392523363,8.870466321243523,0.93,2.5,1.875,12.0,10.2,20.544,14.380799999999999,14.380799999999999,3.16,2568702,Technology,large_cap,2025-10-04 05:21:33.267226
NSE:HCLTECH-EQ,HCL TECHNOLOGIES LTD,1393.5,83610.0,17.4,2.34,20.06,1677.2165999999997,595.5128205128206,1.44,1.7347956131605184,12.157575757575758,0.65,2.5,1.875,12.0,10.2,24.072,16.850399999999997,16.850399999999997,3.22,2793839,Technology,large_cap,2025-10-04 05:21:33.267226
NSE:HEROMOTOCO-EQ,HERO MOTOCORP LIMITED,5550.5,83257.5,19.9,2.55,15.68,2610.9551999999994,2176.666666666667,1.12,2.5382653061224487,9.799999999999999,0.6,2.5,1.875,12.0,10.2,18.816,13.171199999999999,13.171199999999999,2.56,1634394,Technology,large_cap,2025-10-04 05:21:33.267226
NSE:ASTRAL-EQ,ASTRAL LIMITED,1383.6,83016.0,10.4,1.99,16.83,1397.1592799999999,695.2763819095477,1.24,1.2358882947118244,7.3815789473684195,1.28,2.5,1.875,12.0,10.2,20.195999999999998,14.137199999999998,14.137199999999998,2.22,509629,Technology,large_cap,2025-10-04 05:21:33.267226
NSE:AMBER-EQ,AMBER ENTERPRISES (I) LTD,8214.5,82145.0,19.0,2.54,18.02,2960.5058,3234.055118110236,1.17,2.108768035516093,9.147208121827411,0.97,2.0,1.5,8.0,6.8,14.416,10.091199999999999,10.091199999999999,2.23,113201,Others,large_cap,2025-10-04 10:06:03.444541
NSE:ICICIBANK-EQ,ICICI BANK LTD.,1365.2,81912.0,9.63,2.07,17.4,1425.2687999999998,659.5169082125605,1.24,1.106896551724138,9.775280898876403,0.78,1.1,0.8250000000000001,8.0,6.8,5.22,3.6539999999999995,3.6539999999999995,3.09,12163695,Banking,large_cap,2025-10-04 05:21:33.267226
NSE:RELIANCE-EQ,RELIANCE INDUSTRIES LTD,1363.4,81804.0,12.41,1.22,18.08,1479.01632,1117.5409836065576,1.08,1.3727876106194692,9.465968586387433,0.91,2.0,1.5,8.0,6.8,14.463999999999999,10.124799999999999,10.124799999999999,3.2,12842347,Others,large_cap,2025-10-04 05:21:33.267226
NSE:UNITDSPR-EQ,UNITED SPIRITS LIMITED,1362.6,81756.0,22.34,6.29,24.38,1993.21128,216.6295707472178,1.51,1.8326497128794095,17.04895104895105,0.43,2.5,1.875,12.0,10.2,29.255999999999997,20.479199999999995,20.479199999999995,1.8,1058525,Technology,large_cap,2025-10-07 19:29:32.858290
NSE:VOLTAS-EQ,VOLTAS LTD,1360.4,81624.0,19.26,2.32,18.27,1491.27048,586.3793103448277,1.2,2.1083743842364533,7.909090909090908,1.31,1.5,1.125,8.0,6.8,14.616,10.2312,10.2312,2.47,873058,Others,large_cap,2025-10-04 05:21:33.267226
NSE:MCX-EQ,MULTI COMMODITY EXCHANGE,8145.0,81450.0,17.19,1.63,16.39,2669.931,4996.932515337424,1.28,2.097620500305064,8.319796954314722,0.97,2.5,1.875,12.0,10.2,19.668,13.767599999999998,13.767599999999998,3.48,480878,Technology,large_cap,2025-10-04 05:21:33.267226
NSE:NAUKRI-EQ,INFO EDGE (I) LTD,1333.9,80034.0,17.98,2.28,12.79,1023.6348599999999,585.0438596491229,1.04,2.811571540265833,7.751515151515151,0.65,2.0,1.5,8.0,6.8,10.232,7.162399999999999,7.162399999999999,2.09,785507,Others,large_cap,2025-10-04 05:21:33.267226
NSE:JSWHL-EQ,JSW HOLDINGS LIMITED,15884.0,79420.0,17.38,1.97,18.17,2886.1228,8062.944162436548,1.29,1.9130434782608692,10.81547619047619,0.68,2.5,1.875,12.0,10.2,21.804000000000002,15.2628,15.2628,2.34,7988,Technology,large_cap,2025-10-04 19:06:26.950923
NSE:GLENMARK-EQ,GLENMARK PHARMACEUTICALS,1980.2,79208.0,18.41,2.5,11.2,887.1296,792.08,1.08,3.2875,8.057553956834532,0.39,2.0,1.5,8.0,6.8,12.32,8.623999999999999,8.623999999999999,2.13,419687,Pharmaceutical,large_cap,2025-10-04 05:21:33.267226
NSE:NSIL-EQ,NALWA SONS INVESTMENT LTD,7920.0,79200.0,16.14,2.44,14.46,2290.464,3245.9016393442625,1.39,2.232365145228216,7.34010152284264,0.97,2.0,1.5,8.0,6.8,11.568000000000001,8.0976,8.0976,3.37,112238,Others,large_cap,2025-10-04 06:58:23.377965
NSE:TEGA-EQ,TEGA INDUSTRIES LIMITED,1974.0,78960.0,12.61,2.52,17.15,1354.164,783.3333333333334,1.2,1.4705539358600583,7.8310502283105015,1.19,2.5,1.875,12.0,10.2,20.58,14.405999999999997,14.405999999999997,2.95,355104,Technology,large_cap,2025-10-04 05:21:33.267226
NSE:UNOMINDA-EQ,UNO MINDA LIMITED,1316.0,78960.0,12.96,1.31,16.58,1309.1567999999997,1004.5801526717557,1.46,1.5633293124246082,8.459183673469386,0.96,2.5,1.875,12.0,10.2,19.895999999999997,13.927199999999997,13.927199999999997,2.34,646595,Technology,large_cap,2025-10-04 05:21:33.267226
NSE:LLOYDSME-EQ,LLOYDS METALS N ENERGY L,1312.3,78738.0,12.18,1.38,14.54,1144.85052,950.9420289855072,1.02,1.6753782668500687,8.654761904761903,0.68,2.0,1.5,8.0,6.8,8.723999999999998,6.106799999999999,6.106799999999999,2.7,708970,Energy,large_cap,2025-10-04 05:21:33.267226
NSE:GLAND-EQ,GLAND PHARMA LIMITED,1951.4,78056.0,11.4,2.0,15.93,1243.43208,975.7,1.08,1.4312617702448212,7.409302325581396,1.15,2.5,1.875,12.0,10.2,19.116,13.3812,13.3812,3.27,139407,Technology,large_cap,2025-10-04 10:06:03.337998
NSE:GOODLUCK-EQ,GOODLUCK INDIA LIMITED,1296.8,77808.0,16.42,1.81,14.98,1165.5638400000003,716.46408839779,1.22,2.192256341789052,6.570175438596491,1.28,2.5,1.875,12.0,10.2,17.976,12.583199999999998,12.583199999999998,2.42,786663,Technology,large_cap,2025-10-04 05:21:33.267226
NSE:AFFLE-EQ,AFFLE 3I LIMITED,1938.6,77544.0,13.69,2.04,14.37,1114.30728,950.2941176470588,1.5,1.9053583855254002,8.870370370370368,0.62,2.5,1.875,12.0,10.2,17.244,12.070799999999998,12.070799999999998,3.46,173968,Technology,large_cap,2025-10-04 06:58:21.663550
NSE:MTARTECH-EQ,MTAR TECHNOLOGIES LIMITED,1936.1,77444.0,9.67,1.91,12.42,961.85448,1013.6649214659686,1.06,1.5571658615136876,6.713513513513513,0.85,2.5,1.875,12.0,10.2,14.904,10.432799999999999,10.432799999999999,2.61,205411,Technology,large_cap,2025-10-04 06:58:21.224887
NSE:POLYMED-EQ,POLY MEDICURE LIMITED,1910.8,76432.0,13.55,1.23,18.0,1375.776,1553.4959349593496,1.25,1.5055555555555555,11.688311688311687,0.54,2.5,1.875,12.0,10.2,21.599999999999998,15.119999999999997,15.119999999999997,2.66,476355,Technology,large_cap,2025-10-04 05:21:33.267226
NSE:BLUESTARCO-EQ,BLUE STAR LIMITED,1899.2,75968.0,19.19,2.51,18.0,1367.424,756.6533864541833,1.42,2.1322222222222225,11.39240506329114,0.58,2.5,1.875,12.0,10.2,21.599999999999998,15.119999999999997,15.119999999999997,2.16,338348,Technology,large_cap,2025-10-04 05:21:33.267226
NSE:DRREDDY-EQ,DR. REDDY S LABORATORIES,1248.1,74886.0,10.46,1.27,18.18,1361.4274799999998,982.755905511811,1.39,1.1507150715071508,9.275510204081632,0.96,2.0,1.5,8.0,6.8,14.544,10.1808,10.1808,2.36,2742600,Others,large_cap,2025-10-04 05:21:33.267226
NSE:POCL-EQ,PONDY OXIDES & CHEM LTD,1244.6,74676.0,20.42,1.26,15.24,1138.06224,987.7777777777777,1.38,2.679790026246719,6.655021834061135,1.29,1.5,1.125,8.0,6.8,12.192,8.5344,8.5344,3.32,544195,Others,large_cap,2025-10-04 05:21:33.267226
NSE:APOLLOHOSP-EQ,APOLLO HOSPITALS ENTER. L,7449.5,74495.0,10.01,1.21,15.67,2334.6732999999995,6156.611570247934,1.44,1.2776005105296746,8.90340909090909,0.76,2.5,1.875,12.0,10.2,18.804,13.162799999999999,13.162799999999999,3.07,478143,Technology,large_cap,2025-10-04 05:21:33.267226
NSE:DABUR-EQ,DABUR INDIA LTD,496.15,74422.5,18.56,2.28,16.47,245.14771499999998,217.609649122807,1.38,2.2537947783849424,9.46551724137931,0.74,2.0,1.5,8.0,6.8,13.176,9.2232,9.2232,2.43,3035129,Others,large_cap,2025-10-04 05:21:33.267226
NSE:LMW-EQ,LMW LIMITED,14832.0,74160.0,14.88,1.79,16.98,2518.4736000000003,8286.033519553073,1.1,1.7526501766784452,9.929824561403509,0.71,2.5,1.875,12.0,10.2,20.376,14.2632,14.2632,3.42,4400,Technology,large_cap,2025-10-04 19:06:27.484552
NSE:ACC-EQ,ACC LIMITED,1849.1,73964.0,20.24,1.28,12.25,906.059,1444.609375,1.43,3.304489795918367,6.730769230769232,0.82,2.5,1.875,12.0,10.2,14.7,10.29,10.29,2.26,130479,Technology,large_cap,2025-10-04 06:58:22.833202
NSE:POLYCAB-EQ,POLYCAB INDIA LIMITED,7393.0,73930.0,19.35,1.06,15.17,2243.0362,6974.528301886792,1.06,2.551087673038893,7.328502415458936,1.07,2.5,1.875,12.0,10.2,18.204,12.742799999999999,12.742799999999999,2.11,140544,Technology,large_cap,2025-10-04 06:58:22.491411
NSE:KALYANKJIL-EQ,KALYAN JEWELLERS IND LTD,492.15,73822.5,20.06,2.49,14.15,208.91767500000003,197.65060240963854,1.43,2.835335689045936,7.2938144329896915,0.94,2.0,1.5,8.0,6.8,11.32,7.9239999999999995,7.9239999999999995,2.15,9945564,Others,large_cap,2025-10-04 05:21:33.267226
NSE:HINDZINC-EQ,HINDUSTAN ZINC LIMITED,491.5,73725.0,18.37,1.23,17.89,263.78805,399.5934959349594,1.29,2.053661263275573,9.883977900552486,0.81,2.5,1.875,12.0,10.2,21.468,15.0276,15.0276,2.42,9118935,Technology,large_cap,2025-10-04 05:21:33.267226
NSE:CHOLAHLDNG-EQ,CHOLAMANDALAM FIN HOL LTD,1841.2,73648.0,15.45,1.38,12.55,924.2824,1334.2028985507247,1.33,2.4621513944223103,5.4565217391304355,1.3,1.5,1.125,8.0,6.8,10.040000000000001,7.0280000000000005,7.0280000000000005,2.53,249447,Others,large_cap,2025-10-04 06:58:20.534837
NSE:SIRCA-EQ,SIRCA PAINT INDIA LIMITED,490.8,73620.0,9.51,2.09,17.82,262.38167999999996,234.8325358851675,1.47,1.0673400673400673,8.526315789473685,1.09,2.5,1.875,12.0,10.2,21.384,14.9688,14.9688,2.35,574838,Technology,large_cap,2025-10-04 05:21:33.267226
NSE:HAL-EQ,HINDUSTAN AERONAUTICS LTD,4870.4,73056.0,18.4,2.52,17.35,2535.0432,1932.6984126984125,1.09,2.1210374639769447,9.327956989247314,0.86,2.0,1.5,8.0,6.8,13.880000000000003,9.716000000000001,9.716000000000001,2.02,982333,Others,large_cap,2025-10-04 05:21:33.267226
NSE:KAYNES-EQ,KAYNES TECHNOLOGY IND LTD,7273.0,72730.0,11.35,1.1,13.51,1965.1645999999996,6611.818181818181,1.15,1.6802368615840118,8.44375,0.6,2.5,1.875,12.0,10.2,16.212,11.3484,11.3484,3.21,182784,Technology,large_cap,2025-10-04 10:06:03.166096
NSE:TRENT-EQ,TRENT LTD,4815.7,72235.5,21.02,2.09,19.56,2825.8527599999998,2304.1626794258373,1.47,2.149284253578732,10.630434782608695,0.84,2.0,1.5,8.0,6.8,15.648,10.9536,10.9536,2.7,1070640,Others,large_cap,2025-10-04 05:21:33.267226
NSE:PGHH-EQ,P&G HYGIENE & HEALTH CARE,14337.0,71685.0,19.08,2.58,14.79,2120.4422999999997,5556.976744186047,1.28,2.5801217038539552,6.976415094339622,1.12,1.5,1.125,8.0,6.8,11.832,8.2824,8.2824,3.2,6107,Others,large_cap,2025-10-04 19:06:27.184067
NSE:APOLLOTYRE-EQ,APOLLO TYRES LTD,473.15,70972.5,19.35,2.45,12.1,171.75345000000002,193.1224489795918,1.6,3.1983471074380168,8.897058823529413,0.36,2.5,1.875,8.0,6.8,8.469999999999999,5.9289999999999985,5.9289999999999985,2.4,1242296,Automobile,large_cap,2025-10-04 05:21:33.267226
