symbol,name,current_price,market_cap,pe_ratio,pb_ratio,roe,eps,book_value,beta,peg_ratio,roa,debt_to_equity,current_ratio,quick_ratio,revenue_growth,earnings_growth,operating_margin,net_margin,profit_margin,dividend_yield,volume,sector,market_cap_category,last_updated
NSE:MAHSCOOTER-EQ,MAHARASHTRA SCOOTERS LTD,17470.0,873500.0,15.07,1.75,15.88,,,1.03,,,0.85,,,,,,,,2.46,9070,Technology,large_cap,2025-09-28 10:50:14.962161
NSE:FORCEMOT-EQ,FORCE MOTORS LIMITED,17372.0,868600.0,13.1,2.56,17.17,,,1.21,,,1.02,,,,,,,,2.72,48251,Technology,large_cap,2025-09-28 08:30:23.633148
NSE:MARUTI-EQ,MARUTI SUZUKI INDIA LTD.,16286.0,814300.0,19.19,1.14,12.06,,,1.43,,,0.97,,,,,,,,3.18,490957,Technology,large_cap,2025-09-28 08:29:46.354145
NSE:PTCIL-EQ,PTC INDUSTRIES LIMITED,15249.0,762450.0,12.76,1.57,17.4,,,1.26,,,0.8,,,,,,,,2.89,20712,Technology,large_cap,2025-09-28 10:50:13.798080
NSE:LMW-EQ,LMW LIMITED,14609.0,730450.0,16.64,2.34,12.97,,,1.28,,,1.25,,,,,,,,3.42,3873,Technology,large_cap,2025-09-28 10:50:15.731746
NSE:NEULANDLAB-EQ,NEULAND LAB LTD.,13966.0,698300.0,11.56,1.6,12.11,,,1.29,,,1.18,,,,,,,,2.91,78675,Technology,large_cap,2025-09-28 08:30:22.370577
NSE:SOLARINDS-EQ,SOLAR INDUSTRIES (I) LTD,13766.0,688300.0,42.53,8.88,39.53,,,1.15,,,3.35,,,,,,,,8.88,120026,Technology,large_cap,2025-09-28 08:30:21.078494
NSE:PGHH-EQ,P&G HYGIENE & HEALTH CARE,13648.0,682400.0,21.56,1.77,18.33,,,1.37,,,0.68,,,,,,,,3.03,8290,Technology,large_cap,2025-09-28 10:50:15.076356
NSE:TVSHLTD-EQ,TVS HOLDINGS LIMITED,12715.0,635750.0,16.84,2.08,15.75,,,1.0,,,1.29,,,,,,,,3.08,4638,Technology,large_cap,2025-09-28 10:50:15.630453
NSE:BAJAJHLDNG-EQ,BAJAJ HOLDINGS & INVS LTD,12698.0,634900.0,9.79,1.73,19.07,,,1.19,,,0.67,,,,,,,,2.67,32351,Technology,large_cap,2025-09-28 10:50:12.751475
NSE:ZFCVINDIA-EQ,ZF COM VE CTR SYS IND LTD,12580.0,629000.0,12.3,1.57,14.92,,,1.45,,,1.24,,,,,,,,2.87,4801,Technology,large_cap,2025-09-28 10:50:15.608050
NSE:ULTRACEMCO-EQ,ULTRATECH CEMENT LIMITED,12070.0,603500.0,17.93,1.84,15.18,,,1.49,,,1.09,,,,,,,,2.44,181541,Technology,large_cap,2025-09-28 08:29:55.251510
NSE:LICMFGOLD-EQ,LIC MF - LIC GOLD ETF,10194.2,509710.0,13.69,1.58,14.07,,,1.32,,,1.17,,,,,,,,3.45,8420,Technology,large_cap,2025-09-28 10:50:15.047519
NSE:BHARATRAS-EQ,BHARAT RASAYAN LTD,9948.0,497400.0,14.82,2.52,17.93,,,1.17,,,1.06,,,,,,,,2.62,1195,Technology,large_cap,2025-09-28 10:53:22.605366
NSE:IVZINGOLD-EQ,INVESCO INDIA GOLD ETF,9893.15,494657.5,16.03,2.34,12.81,,,1.32,,,1.08,,,,,,,,2.16,904,Technology,large_cap,2025-09-28 10:53:22.621387
NSE:GILLETTE-EQ,GILLETTE INDIA LTD,9529.0,476450.0,12.16,2.33,16.32,,,1.15,,,0.84,,,,,,,,2.46,17792,Technology,large_cap,2025-09-28 10:50:14.024767
NSE:TASTYBITE-EQ,TASTY BITE EATABLES LTD,8941.5,447075.0,33.0,3.56,18.49,,,1.37,,,0.11,,,,,,,,1.06,1424,Technology,large_cap,2025-09-28 10:53:22.566558
NSE:WENDT-EQ,WENDT (INDIA) LIMITED,8850.5,442525.0,13.33,2.53,15.81,,,1.2,,,1.13,,,,,,,,3.02,15153,Technology,large_cap,2025-09-28 10:50:14.317938
NSE:ASTRAZEN-EQ,ASTRAZENECA PHARMA IND LT,8811.5,440575.0,18.54,1.57,14.11,,,1.41,,,0.82,,,,,,,,2.39,23653,Technology,large_cap,2025-09-28 10:50:13.523691
NSE:BAJAJ-AUTO-EQ,BAJAJ AUTO LIMITED,8702.0,435100.0,21.58,2.87,8.68,,,1.17,,,0.77,,,,,,,,1.65,335841,Technology,large_cap,2025-09-28 08:29:51.522442
NSE:TATAINVEST-EQ,TATA INVESTMENT CORP LTD,8666.0,433300.0,9.81,2.5,16.07,,,1.33,,,0.87,,,,,,,,2.48,2126796,Technology,large_cap,2025-09-28 09:26:04.029502
NSE:OFSS-EQ,ORACLE FIN SERV SOFT LTD.,8515.0,425750.0,32.03,6.26,29.03,,,1.07,,,2.3,,,,,,,,6.26,133987,Technology,large_cap,2025-09-28 08:29:57.407068
NSE:APARINDS-EQ,APAR INDUSTRIES LTD.,8360.5,418025.0,13.19,2.3,13.55,,,1.39,,,1.11,,,,,,,,2.54,67095,Technology,large_cap,2025-09-28 08:30:22.751763
NSE:AMBER-EQ,AMBER ENTERPRISES (I) LTD,8162.5,408125.0,15.26,2.29,15.39,,,1.13,,,0.87,,,,,,,,2.69,325955,Technology,large_cap,2025-09-28 08:29:51.757403
NSE:KOTAKBANK-EQ,KOTAK MAHINDRA BANK LTD,1994.8,398960.0,9.8,1.28,17.8,,,1.03,,,1.05,,,,,,,,3.01,1919165,Technology,large_cap,2025-09-28 09:27:44.989235
NSE:MCX-EQ,MULTI COMMODITY EXCHANGE,7920.5,396025.0,19.03,1.15,16.84,,,1.44,,,0.77,,,,,,,,3.3,390552,Technology,large_cap,2025-09-28 08:29:50.164673
NSE:GLENMARK-EQ,GLENMARK PHARMACEUTICALS,1971.7,394340.0,15.21,2.38,18.11,,,1.31,,,1.07,,,,,,,,2.98,924467,Technology,large_cap,2025-09-28 09:43:29.969795
NSE:ALKYLAMINE-EQ,ALKYL AMINES CHEM. LTD,1970.2,394040.0,18.18,1.79,14.35,,,1.44,,,1.25,,,,,,,,2.53,31584,Technology,large_cap,2025-09-28 10:50:12.807535
NSE:FIEMIND-EQ,FIEM INDUSTRIES LIMITED,1962.4,392480.0,12.12,1.2,19.51,,,1.4,,,0.95,,,,,,,,3.16,87256,Technology,large_cap,2025-09-28 08:30:22.161725
NSE:INTERARCH-EQ,INTERARCH BLDNG SOLTN LTD,1959.7,391940.0,10.65,1.09,16.66,,,1.08,,,0.6,,,,,,,,2.26,34468,Technology,large_cap,2025-09-28 10:50:12.665000
NSE:POLYMED-EQ,POLY MEDICURE LIMITED,1959.5,391900.0,15.77,2.44,17.02,,,1.16,,,0.78,,,,,,,,2.8,293784,Technology,large_cap,2025-09-28 08:29:52.289438
NSE:GLAND-EQ,GLAND PHARMA LIMITED,1958.1,391620.0,10.34,2.48,17.05,,,1.41,,,1.26,,,,,,,,2.4,594322,Technology,large_cap,2025-09-28 09:55:26.493166
NSE:GODREJPROP-EQ,GODREJ PROPERTIES LTD,1957.6,391520.0,16.47,2.29,19.06,,,1.37,,,0.83,,,,,,,,2.5,387913,Technology,large_cap,2025-09-28 08:29:50.258471
NSE:KIRLOSBROS-EQ,KIRLOSKAR BROTHERS LTD,1954.2,390840.0,18.25,1.41,11.83,,,1.31,,,0.87,,,,,,,,2.25,288131,Technology,large_cap,2025-09-28 08:29:52.388261
NSE:TEGA-EQ,TEGA INDUSTRIES LIMITED,1942.1,388420.0,17.92,1.83,17.85,,,1.1,,,0.62,,,,,,,,2.12,304253,Technology,large_cap,2025-09-28 08:29:52.104448
NSE:BIRLANU-EQ,BIRLANU LIMITED,1933.5,386700.0,17.16,2.6,19.14,,,1.12,,,0.85,,,,,,,,2.34,6244,Technology,large_cap,2025-09-28 10:50:15.333994
NSE:HESTERBIO-EQ,HESTER BIOSCIENCES LTD,1921.7,384340.0,9.73,1.69,12.94,,,1.27,,,0.9,,,,,,,,3.18,4541,Technology,large_cap,2025-09-28 10:50:15.647115
NSE:LUPIN-EQ,LUPIN LIMITED,1919.8,383960.0,20.58,1.7,14.84,,,1.16,,,1.07,,,,,,,,2.29,1121424,Technology,large_cap,2025-09-28 09:38:35.094647
NSE:BHARTIARTL-EQ,BHARTI AIRTEL LIMITED,1916.6,383320.0,14.73,2.15,20.18,,,1.42,,,0.89,,,,,,,,2.93,3239306,Technology,large_cap,2025-09-28 09:19:08.171405
NSE:NPST-EQ,NETWORK PEOPLE SRV TECH L,1912.2,382440.0,17.73,1.56,15.31,,,1.44,,,1.1,,,,,,,,2.36,9226,Technology,large_cap,2025-09-28 10:50:14.952202
NSE:ICICIGI-EQ,ICICI LOMBARD GIC LIMITED,1894.0,378800.0,20.61,2.15,13.28,,,1.1,,,0.99,,,,,,,,3.19,1278304,Technology,large_cap,2025-09-28 09:35:30.629300
NSE:BLUESTARCO-EQ,BLUE STAR LIMITED,1890.1,378020.0,18.27,1.93,13.48,,,1.41,,,0.78,,,,,,,,3.16,486116,Technology,large_cap,2025-09-28 08:29:46.410551
NSE:V2RETAIL-EQ,V2 RETAIL LIMITED,1885.9,377180.0,10.76,2.53,14.09,,,1.29,,,1.04,,,,,,,,2.94,68763,Technology,large_cap,2025-09-28 08:30:22.670603
NSE:MTARTECH-EQ,MTAR TECHNOLOGIES LIMITED,1879.0,375800.0,13.01,1.32,16.83,,,1.33,,,0.95,,,,,,,,2.64,258711,Technology,large_cap,2025-09-28 08:29:53.034103
NSE:APOLLOHOSP-EQ,APOLLO HOSPITALS ENTER. L,7510.0,375500.0,14.86,2.32,17.86,,,1.29,,,0.7,,,,,,,,2.58,207170,Technology,large_cap,2025-09-28 08:29:54.510454
NSE:COCHINSHIP-EQ,COCHIN SHIPYARD LIMITED,1874.2,374840.0,17.63,2.2,14.04,,,1.4,,,1.08,,,,,,,,2.83,1526837,Technology,large_cap,2025-09-28 09:31:28.360257
NSE:DEEPAKNTR-EQ,DEEPAK NITRITE LTD,1848.4,369680.0,19.46,1.99,15.55,,,1.2,,,1.31,,,,,,,,2.87,295582,Technology,large_cap,2025-09-28 08:29:52.213091
NSE:CHOLAHLDNG-EQ,CHOLAMANDALAM FIN HOL LTD,1839.6,367920.0,20.05,1.76,16.72,,,1.02,,,0.91,,,,,,,,2.72,94304,Technology,large_cap,2025-09-28 08:30:21.931810
NSE:KAYNES-EQ,KAYNES TECHNOLOGY IND LTD,7341.0,367050.0,10.12,1.43,13.09,,,1.44,,,0.59,,,,,,,,3.35,413119,Technology,large_cap,2025-09-28 08:29:49.081569
NSE:NSIL-EQ,NALWA SONS INVESTMENT LTD,7336.5,366825.0,11.64,1.7,16.16,,,1.0,,,0.68,,,,,,,,3.47,12341,Technology,large_cap,2025-09-28 10:50:14.622276
NSE:POLYCAB-EQ,POLYCAB INDIA LIMITED,7322.5,366125.0,29.64,5.66,26.64,,,1.38,,,2.06,,,,,,,,5.66,244407,Technology,large_cap,2025-09-28 08:29:53.455751
NSE:ACC-EQ,ACC LIMITED,1824.4,364880.0,21.2,1.14,11.93,,,1.4,,,0.72,,,,,,,,2.28,257769,Technology,large_cap,2025-09-28 08:29:53.055493
NSE:THEJO-EQ,THEJO ENGINEERING LIMITED,1821.0,364200.0,17.97,1.85,12.26,,,1.21,,,1.02,,,,,,,,2.5,1590,Technology,large_cap,2025-09-28 10:53:22.534436
NSE:VEEDOL-EQ,VEEDOL CORPORATION LTD,1807.0,361400.0,17.65,1.78,15.43,,,1.16,,,0.58,,,,,,,,2.21,13927,Technology,large_cap,2025-09-28 10:50:14.415897
NSE:SBILIFE-EQ,SBI LIFE INSURANCE CO LTD,1798.8,359760.0,21.41,1.55,18.31,,,1.24,,,0.81,,,,,,,,2.64,1561042,Technology,large_cap,2025-09-28 09:30:54.039747
NSE:TEAMLEASE-EQ,TEAMLEASE SERVICES LTD.,1791.8,358360.0,14.7,1.43,14.79,,,1.13,,,1.2,,,,,,,,3.09,16125,Technology,large_cap,2025-09-28 10:50:14.197256
NSE:ONESOURCE-EQ,ONESOURCE SPECL PHARMA L,1789.8,357960.0,16.95,2.11,19.48,,,1.46,,,1.2,,,,,,,,2.42,227013,Technology,large_cap,2025-09-28 08:29:53.972228
NSE:BBTC-EQ,BOMBAY BURMAH TRADING COR,1784.0,356800.0,11.45,2.58,17.71,,,1.25,,,1.11,,,,,,,,2.7,48019,Technology,large_cap,2025-09-28 08:30:23.651137
NSE:UBL-EQ,UNITED BREWERIES LTD,1777.2,355440.0,20.96,1.79,13.34,,,1.18,,,1.31,,,,,,,,2.34,81812,Technology,large_cap,2025-09-28 08:30:22.307762
NSE:EIMCOELECO-EQ,EIMCO ELECON (INDIA) LTD,1767.4,353480.0,18.91,2.4,18.43,,,1.39,,,1.2,,,,,,,,2.1,274084,Technology,large_cap,2025-09-28 08:29:52.743799
NSE:EICHERMOT-EQ,EICHER MOTORS LTD,7047.0,352350.0,13.37,1.5,17.66,,,1.21,,,1.01,,,,,,,,2.99,679362,Technology,large_cap,2025-09-28 09:52:20.600376
NSE:VOLTAMP-EQ,VOLTAMP TRANSFORMERS LTD,6997.0,349850.0,20.65,2.1,13.71,,,1.02,,,1.16,,,,,,,,2.42,52159,Technology,large_cap,2025-09-28 08:30:23.469311
NSE:AUTOAXLES-EQ,AUTOMOTIVE AXLES LIMITED,1746.4,349280.0,22.08,1.59,12.67,,,1.11,,,0.52,,,,,,,,2.43,5590,Technology,large_cap,2025-09-28 10:50:15.447234
NSE:ABREL-EQ,ADITYA BIRLA REAL EST LTD,1743.3,348660.0,21.02,1.23,14.43,,,1.03,,,0.75,,,,,,,,2.1,71299,Technology,large_cap,2025-09-28 08:30:22.571600
NSE:JCHAC-EQ,JOHNSON CONTROLS HITACHI,1731.8,346360.0,15.46,2.58,16.75,,,1.15,,,1.16,,,,,,,,3.0,16809,Technology,large_cap,2025-09-28 10:50:14.136232
NSE:DYNAMATECH-EQ,DYNAMATIC TECHNOLOGIES,6927.0,346350.0,18.48,1.6,18.71,,,1.07,,,0.98,,,,,,,,2.29,6523,Technology,large_cap,2025-09-28 10:50:15.312542
NSE:NH-EQ,NARAYANA HRUDAYALAYA LTD.,1725.0,345000.0,9.97,2.46,15.2,,,1.29,,,1.02,,,,,,,,3.41,234625,Technology,large_cap,2025-09-28 08:29:53.747505
NSE:VINATIORGA-EQ,VINATI ORGANICS LTD,1720.0,344000.0,14.05,1.49,14.09,,,1.19,,,0.94,,,,,,,,3.06,38654,Technology,large_cap,2025-09-28 08:30:24.355798
NSE:IFBIND-EQ,IFB INDUSTRIES LTD,1713.7,342740.0,13.57,2.22,16.69,,,1.08,,,0.86,,,,,,,,2.19,36916,Technology,large_cap,2025-09-28 08:30:24.542471
NSE:INDOTECH-EQ,INDO TECH TRANSFORM LTD.,1706.1,341220.0,33.53,5.71,25.12,,,1.35,,,0.47,,,,,,,,2.85,11961,Technology,large_cap,2025-09-28 10:50:14.701475
NSE:CRAFTSMAN-EQ,CRAFTSMAN AUTOMATION LTD,6779.5,338975.0,20.98,1.2,14.83,,,1.49,,,0.96,,,,,,,,2.64,17972,Technology,large_cap,2025-09-28 10:50:14.018995
NSE:HIRECT-EQ,HIND RECTIFIER LIMITED,1692.3,338460.0,13.19,1.77,19.26,,,1.14,,,1.17,,,,,,,,2.67,46475,Technology,large_cap,2025-09-28 08:30:23.699432
NSE:POLICYBZR-EQ,PB FINTECH LIMITED,1677.1,335420.0,16.82,1.41,18.2,,,1.38,,,1.27,,,,,,,,3.22,1956926,Technology,large_cap,2025-09-28 09:27:14.776920
NSE:BHARTIHEXA-EQ,BHARTI HEXACOM LIMITED,1676.3,335260.0,14.13,1.83,17.12,,,1.34,,,0.83,,,,,,,,2.04,259991,Technology,large_cap,2025-09-28 08:29:52.990442
NSE:SUNCLAY-EQ,SUNDARAM CLAYTON LIMITED,1670.9,334180.0,14.79,2.53,15.53,,,1.45,,,1.05,,,,,,,,2.02,12083,Technology,large_cap,2025-09-28 10:50:14.674052
NSE:JBCHEPHARM-EQ,J B CHEMICALS AND PHARMA,1670.1,334020.0,19.62,1.51,16.71,,,1.07,,,0.79,,,,,,,,2.35,167477,Technology,large_cap,2025-09-28 08:29:56.161950
NSE:APLAPOLLO-EQ,APL APOLLO TUBES LTD,1660.1,332020.0,21.01,2.28,19.0,,,1.09,,,1.03,,,,,,,,2.47,836539,Technology,large_cap,2025-09-28 09:46:21.882364
NSE:EPIGRAL-EQ,EPIGRAL LIMITED,1659.2,331840.0,20.07,1.15,11.89,,,1.05,,,0.84,,,,,,,,2.52,37227,Technology,large_cap,2025-09-28 08:30:24.515121
NSE:GKWLIMITED-EQ,GKW LIMITED,1656.6,331320.0,18.21,3.8,17.82,,,1.53,,,0.23,,,,,,,,1.18,549,Technology,large_cap,2025-09-28 10:53:22.655222
NSE:YASHO-EQ,YASHO INDUSTRIES LIMITED,1654.7,330940.0,19.04,1.71,15.33,,,1.23,,,0.89,,,,,,,,3.1,6833,Technology,large_cap,2025-09-28 10:50:15.282602
NSE:STYLAMIND-EQ,STYLAM INDUSTRIES LIMITED,1652.2,330440.0,17.53,2.11,15.6,,,1.39,,,0.84,,,,,,,,3.46,37997,Technology,large_cap,2025-09-28 08:30:24.399642
NSE:AXISCADES-EQ,AXISCADES TECH LTD,1640.4,328080.0,14.71,1.66,16.2,,,1.05,,,0.69,,,,,,,,3.24,142349,Technology,large_cap,2025-09-28 08:29:57.117166
NSE:MAPMYINDIA-EQ,C.E. INFO SYSTEMS LIMITED,1622.6,324520.0,20.69,2.32,15.31,,,1.15,,,0.97,,,,,,,,2.54,60944,Technology,large_cap,2025-09-28 08:30:23.011792
NSE:ICRA-EQ,ICRA LIMITED,6479.0,323950.0,18.59,1.51,13.91,,,1.01,,,0.98,,,,,,,,3.19,4163,Technology,large_cap,2025-09-28 10:50:15.706028
NSE:TATACOMM-EQ,TATA COMMUNICATIONS LTD,1613.7,322740.0,9.67,2.51,17.19,,,1.3,,,1.14,,,,,,,,2.75,147048,Technology,large_cap,2025-09-28 08:29:56.845509
NSE:RANEHOLDIN-EQ,RANE HOLDINGS LIMITED,1609.5,321900.0,15.07,1.14,12.74,,,1.11,,,1.01,,,,,,,,3.11,16654,Technology,large_cap,2025-09-28 10:50:14.142763
NSE:JKCEMENT-EQ,JK CEMENT LIMITED,6347.5,317375.0,19.3,2.07,15.48,,,1.14,,,1.29,,,,,,,,3.01,113731,Technology,large_cap,2025-09-28 08:30:21.440522
NSE:SUNPHARMA-EQ,SUN PHARMACEUTICAL IND L,1586.7,317340.0,20.28,3.25,13.99,,,0.87,,,0.56,,,,,,,,1.8,7256759,Technology,large_cap,2025-09-28 09:10:24.885372
NSE:ERIS-EQ,ERIS LIFESCIENCES LIMITED,1585.5,317100.0,11.38,2.55,16.96,,,1.09,,,0.88,,,,,,,,2.68,67085,Technology,large_cap,2025-09-28 08:30:22.758895
NSE:LINDEINDIA-EQ,LINDE INDIA LIMITED,6317.0,315850.0,16.68,1.16,19.6,,,1.16,,,0.73,,,,,,,,2.05,12256,Technology,large_cap,2025-09-28 10:50:14.641623
NSE:OBEROIRLTY-EQ,OBEROI REALTY LIMITED,1577.7,315540.0,13.73,2.43,17.65,,,1.23,,,1.05,,,,,,,,2.01,548852,Technology,large_cap,2025-09-28 09:57:55.376611
NSE:AAVAS-EQ,AAVAS FINANCIERS LIMITED,1574.8,314960.0,18.84,1.81,18.42,,,1.06,,,0.73,,,,,,,,2.56,100256,Technology,large_cap,2025-09-28 08:30:21.765745
NSE:PGHL-EQ,PROCTER & GAMBLE HEALTH L,6288.5,314425.0,13.97,1.36,19.09,,,1.25,,,1.26,,,,,,,,2.56,7666,Technology,large_cap,2025-09-28 10:50:15.130826
NSE:CHOLAFIN-EQ,CHOLAMANDALAM IN & FIN CO,1569.9,313980.0,14.75,1.25,13.01,,,1.34,,,0.71,,,,,,,,2.62,1273246,Technology,large_cap,2025-09-28 09:35:45.893776
NSE:CONCORDBIO-EQ,CONCORD BIOTECH LIMITED,1565.4,313080.0,9.81,2.45,14.74,,,1.32,,,1.06,,,,,,,,2.02,210631,Technology,large_cap,2025-09-28 08:29:54.415363
NSE:CARERATING-EQ,CARE RATINGS LIMITED,1558.8,311760.0,18.06,2.35,13.7,,,1.05,,,0.82,,,,,,,,3.28,44193,Technology,large_cap,2025-09-28 08:30:23.806673
NSE:GRAVITA-EQ,GRAVITA INDIA LIMITED,1558.2,311640.0,28.4,6.06,19.14,,,1.39,,,0.12,,,,,,,,1.06,281018,Technology,large_cap,2025-09-28 08:29:52.566735
NSE:AZAD-EQ,AZAD ENGINEERING LIMITED,1556.8,311360.0,17.02,2.03,17.18,,,1.49,,,1.19,,,,,,,,2.96,167088,Technology,large_cap,2025-09-28 08:29:56.177343
NSE:GRINDWELL-EQ,GRINDWELL NORTON LIMITED,1554.4,310880.0,20.59,2.01,11.82,,,1.28,,,0.62,,,,,,,,2.03,37050,Technology,large_cap,2025-09-28 08:30:24.530149
NSE:OLECTRA-EQ,OLECTRA GREENTECH LIMITED,1553.6,310720.0,19.47,1.71,17.38,,,1.13,,,0.97,,,,,,,,3.09,714762,Technology,large_cap,2025-09-28 09:51:20.188550
NSE:NILKAMAL-EQ,NILKAMAL LIMITED,1549.8,309960.0,16.27,1.18,12.53,,,1.16,,,0.64,,,,,,,,2.87,825,Technology,large_cap,2025-09-28 10:53:22.634320
NSE:MFSL-EQ,MAX FINANCIAL SERV LTD,1545.6,309120.0,19.18,1.66,13.8,,,1.04,,,1.15,,,,,,,,2.84,532878,Technology,large_cap,2025-09-28 09:58:55.444635
NSE:CERA-EQ,CERA SANITARYWARE LTD,6179.5,308975.0,13.64,2.35,11.99,,,1.25,,,1.25,,,,,,,,3.19,22204,Technology,large_cap,2025-09-28 10:50:13.672836
NSE:SOBHA-EQ,SOBHA LIMITED,1542.2,308440.0,16.63,2.07,13.01,,,1.12,,,1.0,,,,,,,,2.37,82519,Technology,large_cap,2025-09-28 08:30:22.298877
NSE:PHOENIXLTD-EQ,THE PHOENIX MILLS LTD,1540.4,308080.0,14.21,1.74,14.61,,,1.03,,,0.99,,,,,,,,2.79,477738,Technology,large_cap,2025-09-28 08:29:46.558272
NSE:COFORGE-EQ,COFORGE LIMITED,1538.5,307700.0,9.78,2.01,15.91,,,1.21,,,1.29,,,,,,,,3.46,1851852,Technology,large_cap,2025-09-28 09:28:44.415226
NSE:EBBETF0430-EQ,EDELAMC - EBBETF0430,1537.59,307518.0,21.26,1.66,18.47,,,1.22,,,1.28,,,,,,,,2.41,13388,Technology,large_cap,2025-09-28 10:50:14.526505
NSE:DEEPAKFERT-EQ,DEEPAK FERTILIZERS & PETR,1531.6,306320.0,20.91,2.21,16.47,,,1.45,,,1.15,,,,,,,,2.23,291054,Technology,large_cap,2025-09-28 08:29:52.317051
NSE:NUVAMA-EQ,NUVAMA WEALTH MANAGE LTD,6115.0,305750.0,18.11,1.68,11.79,,,1.25,,,0.96,,,,,,,,2.91,214455,Technology,large_cap,2025-09-28 08:29:54.345975
NSE:NEOGEN-EQ,NEOGEN CHEMICALS LIMITED,1519.2,303840.0,20.85,1.71,14.49,,,1.3,,,0.96,,,,,,,,2.4,240443,Technology,large_cap,2025-09-28 08:29:53.550327
NSE:JLHL-EQ,JUPITER LIFE LINE HOSP L,1510.4,302080.0,19.52,2.33,13.09,,,1.15,,,0.73,,,,,,,,2.93,40805,Technology,large_cap,2025-09-28 08:30:24.214744
NSE:ATUL-EQ,ATUL LTD,6032.0,301600.0,10.66,2.48,14.3,,,1.11,,,0.93,,,,,,,,2.97,18207,Technology,large_cap,2025-09-28 10:50:13.990343
NSE:HAVELLS-EQ,HAVELLS INDIA LIMITED,1507.4,301480.0,11.92,2.5,19.01,,,1.11,,,0.68,,,,,,,,2.09,953494,Technology,large_cap,2025-09-28 09:42:24.437192
NSE:PRESTIGE-EQ,PRESTIGE ESTATE LTD,1507.4,301480.0,9.89,2.61,18.18,,,1.04,,,0.66,,,,,,,,3.45,395032,Technology,large_cap,2025-09-28 08:29:49.925678
NSE:DHANUKA-EQ,DHANUKA AGRITECH LTD,1501.4,300280.0,11.48,1.61,13.78,,,1.24,,,1.18,,,,,,,,3.25,23012,Technology,large_cap,2025-09-28 10:50:13.578850
NSE:ZENTEC-EQ,ZEN TECHNOLOGIES LIMITED,1500.8,300160.0,21.05,2.02,16.05,,,1.17,,,0.72,,,,,,,,3.2,345836,Technology,large_cap,2025-09-28 08:29:51.377904
NSE:CIPLA-EQ,CIPLA LTD,1499.4,299880.0,18.82,1.52,19.28,,,1.01,,,1.18,,,,,,,,2.54,2653841,Technology,large_cap,2025-09-28 09:21:43.346271
NSE:BDL-EQ,BHARAT DYNAMICS LIMITED,1497.8,299560.0,21.21,1.84,13.56,,,1.31,,,1.12,,,,,,,,2.05,943640,Technology,large_cap,2025-09-28 09:42:52.193694
NSE:TBOTEK-EQ,TBO TEK LIMITED,1494.7,298940.0,12.88,1.88,19.34,,,1.38,,,1.21,,,,,,,,2.88,87466,Technology,large_cap,2025-09-28 08:30:22.155946
NSE:IKS-EQ,INVENTURUS KNOWLEDGE SO L,1487.2,297440.0,16.7,2.08,12.74,,,1.42,,,0.67,,,,,,,,3.18,156666,Technology,large_cap,2025-09-28 08:29:56.500236
NSE:BRITANNIA-EQ,BRITANNIA INDUSTRIES LTD,5920.5,296025.0,20.84,5.81,23.05,,,1.2,,,0.17,,,,,,,,1.32,189383,Technology,large_cap,2025-09-28 08:29:55.080773
